# STN;HH;YYYYMMDD;T
260;1;20230101;155
260;2;20230101;150
260;3;20230101;149
260;4;20230101;139
260;5;20230101;131
260;6;20230101;129
260;7;20230101;125
260;8;20230101;116
260;9;20230101;115
260;10;20230101;120
260;11;20230101;128
260;12;20230101;123
260;13;20230101;129
260;14;20230101;125
260;15;20230101;123
260;16;20230101;122
260;17;20230101;121
260;18;20230101;115
260;19;20230101;107
260;20;20230101;106
260;21;20230101;105
260;22;20230101;106
260;23;20230101;113
260;24;20230101;114
260;1;20230102;114
260;2;20230102;119
260;3;20230102;122
260;4;20230102;127
260;5;20230102;124
260;6;20230102;99
260;7;20230102;93
260;8;20230102;89
260;9;20230102;91
260;10;20230102;90
260;11;20230102;93
260;12;20230102;97
260;13;20230102;97
260;14;20230102;91
260;15;20230102;92
260;16;20230102;89
260;17;20230102;85
260;18;20230102;71
260;19;20230102;69
260;20;20230102;57
260;21;20230102;52
260;22;20230102;49
260;23;20230102;52
260;24;20230102;45
260;1;20230103;48
260;2;20230103;21
260;3;20230103;19
260;4;20230103;31
260;5;20230103;31
260;6;20230103;25
260;7;20230103;32
260;8;20230103;39
260;9;20230103;50
260;10;20230103;63
260;11;20230103;70
260;12;20230103;76
260;13;20230103;81
260;14;20230103;84
260;15;20230103;81
260;16;20230103;80
260;17;20230103;80
260;18;20230103;82
260;19;20230103;84
260;20;20230103;84
260;21;20230103;86
260;22;20230103;89
260;23;20230103;91
260;24;20230103;88
260;1;20230104;88
260;2;20230104;97
260;3;20230104;102
260;4;20230104;111
260;5;20230104;112
260;6;20230104;112
260;7;20230104;116
260;8;20230104;115
260;9;20230104;115
260;10;20230104;118
260;11;20230104;119
260;12;20230104;127
260;13;20230104;128
260;14;20230104;126
260;15;20230104;125
260;16;20230104;123
260;17;20230104;121
260;18;20230104;121
260;19;20230104;120
260;20;20230104;121
260;21;20230104;122
260;22;20230104;118
260;23;20230104;115
260;24;20230104;111
260;1;20230105;111
260;2;20230105;110
260;3;20230105;109
260;4;20230105;109
260;5;20230105;108
260;6;20230105;105
260;7;20230105;106
260;8;20230105;104
260;9;20230105;104
260;10;20230105;107
260;11;20230105;110
260;12;20230105;116
260;13;20230105;117
260;14;20230105;114
260;15;20230105;107
260;16;20230105;99
260;17;20230105;97
260;18;20230105;102
260;19;20230105;108
260;20;20230105;110
260;21;20230105;111
260;22;20230105;111
260;23;20230105;109
260;24;20230105;110
260;1;20230106;106
260;2;20230106;109
260;3;20230106;107
260;4;20230106;108
260;5;20230106;110
260;6;20230106;105
260;7;20230106;103
260;8;20230106;102
260;9;20230106;102
260;10;20230106;104
260;11;20230106;106
260;12;20230106;107
260;13;20230106;113
260;14;20230106;110
260;15;20230106;105
260;16;20230106;98
260;17;20230106;96
260;18;20230106;97
260;19;20230106;100
260;20;20230106;106
260;21;20230106;111
260;22;20230106;110
260;23;20230106;109
260;24;20230106;110
260;1;20230107;109
260;2;20230107;105
260;3;20230107;104
260;4;20230107;99
260;5;20230107;99
260;6;20230107;100
260;7;20230107;99
260;8;20230107;102
260;9;20230107;102
260;10;20230107;108
260;11;20230107;112
260;12;20230107;117
260;13;20230107;111
260;14;20230107;112
260;15;20230107;110
260;16;20230107;108
260;17;20230107;103
260;18;20230107;97
260;19;20230107;95
260;20;20230107;101
260;21;20230107;100
260;22;20230107;102
260;23;20230107;107
260;24;20230107;84
260;1;20230108;87
260;2;20230108;90
260;3;20230108;92
260;4;20230108;90
260;5;20230108;83
260;6;20230108;73
260;7;20230108;72
260;8;20230108;66
260;9;20230108;68
260;10;20230108;80
260;11;20230108;91
260;12;20230108;96
260;13;20230108;97
260;14;20230108;100
260;15;20230108;94
260;16;20230108;86
260;17;20230108;81
260;18;20230108;84
260;19;20230108;82
260;20;20230108;84
260;21;20230108;81
260;22;20230108;77
260;23;20230108;77
260;24;20230108;73
260;1;20230109;67
260;2;20230109;59
260;3;20230109;55
260;4;20230109;50
260;5;20230109;56
260;6;20230109;61
260;7;20230109;65
260;8;20230109;67
260;9;20230109;71
260;10;20230109;80
260;11;20230109;79
260;12;20230109;75
260;13;20230109;85
260;14;20230109;81
260;15;20230109;81
260;16;20230109;77
260;17;20230109;70
260;18;20230109;68
260;19;20230109;71
260;20;20230109;73
260;21;20230109;74
260;22;20230109;73
260;23;20230109;66
260;24;20230109;65
260;1;20230110;68
260;2;20230110;64
260;3;20230110;66
260;4;20230110;72
260;5;20230110;66
260;6;20230110;52
260;7;20230110;65
260;8;20230110;57
260;9;20230110;57
260;10;20230110;58
260;11;20230110;56
260;12;20230110;62
260;13;20230110;68
260;14;20230110;72
260;15;20230110;64
260;16;20230110;63
260;17;20230110;62
260;18;20230110;68
260;19;20230110;77
260;20;20230110;83
260;21;20230110;86
260;22;20230110;90
260;23;20230110;97
260;24;20230110;104
260;1;20230111;107
260;2;20230111;112
260;3;20230111;115
260;4;20230111;112
260;5;20230111;115
260;6;20230111;109
260;7;20230111;103
260;8;20230111;99
260;9;20230111;88
260;10;20230111;99
260;11;20230111;103
260;12;20230111;101
260;13;20230111;103
260;14;20230111;105
260;15;20230111;97
260;16;20230111;95
260;17;20230111;95
260;18;20230111;95
260;19;20230111;91
260;20;20230111;86
260;21;20230111;86
260;22;20230111;91
260;23;20230111;91
260;24;20230111;91
260;1;20230112;91
260;2;20230112;92
260;3;20230112;93
260;4;20230112;89
260;5;20230112;91
260;6;20230112;93
260;7;20230112;97
260;8;20230112;110
260;9;20230112;111
260;10;20230112;113
260;11;20230112;110
260;12;20230112;110
260;13;20230112;110
260;14;20230112;109
260;15;20230112;109
260;16;20230112;109
260;17;20230112;109
260;18;20230112;107
260;19;20230112;107
260;20;20230112;105
260;21;20230112;100
260;22;20230112;105
260;23;20230112;99
260;24;20230112;94
260;1;20230113;89
260;2;20230113;88
260;3;20230113;88
260;4;20230113;87
260;5;20230113;85
260;6;20230113;82
260;7;20230113;84
260;8;20230113;87
260;9;20230113;83
260;10;20230113;84
260;11;20230113;89
260;12;20230113;94
260;13;20230113;97
260;14;20230113;97
260;15;20230113;95
260;16;20230113;92
260;17;20230113;84
260;18;20230113;78
260;19;20230113;81
260;20;20230113;81
260;21;20230113;85
260;22;20230113;85
260;23;20230113;86
260;24;20230113;86
260;1;20230114;75
260;2;20230114;73
260;3;20230114;62
260;4;20230114;59
260;5;20230114;58
260;6;20230114;66
260;7;20230114;68
260;8;20230114;65
