# STN;YYYYMMDD;HH;T
260;20180101;1;85
260;20180101;2;71
260;20180101;3;78
260;20180101;4;80
260;20180101;5;75
260;20180101;6;69
260;20180101;7;65
260;20180101;8;62
260;20180101;9;66
260;20180101;10;71
260;20180101;11;74
260;20180101;12;70
260;20180101;13;75
260;20180101;14;75
260;20180101;15;76
260;20180101;16;64
260;20180101;17;61
260;20180101;18;60
260;20180101;19;56
260;20180101;20;54
260;20180101;21;58
260;20180101;22;61
260;20180101;23;61
260;20180101;24;53
260;20180102;1;52
260;20180102;2;48
260;20180102;3;54
260;20180102;4;58
260;20180102;5;61
260;20180102;6;62
260;20180102;7;56
260;20180102;8;62
260;20180102;9;61
260;20180102;10;68
260;20180102;11;69
260;20180102;12;69
260;20180102;13;70
260;20180102;14;67
260;20180102;15;63
260;20180102;16;60
260;20180102;17;63
260;20180102;18;63
260;20180102;19;59
260;20180102;20;62
260;20180102;21;70
260;20180102;22;79
260;20180102;23;87
260;20180102;24;89
260;20180103;1;91
260;20180103;2;98
260;20180103;3;104
260;20180103;4;106
260;20180103;5;100
260;20180103;6;58
260;20180103;7;70
260;20180103;8;78
260;20180103;9;83
260;20180103;10;76
260;20180103;11;86
260;20180103;12;88
260;20180103;13;89
260;20180103;14;89
260;20180103;15;85
260;20180103;16;91
260;20180103;17;92
260;20180103;18;92
260;20180103;19;92
260;20180103;20;89
260;20180103;21;88
260;20180103;22;88
260;20180103;23;84
260;20180103;24;86
260;20180104;1;86
260;20180104;2;85
260;20180104;3;83
260;20180104;4;76
260;20180104;5;69
260;20180104;6;70
260;20180104;7;71
260;20180104;8;69
260;20180104;9;70
260;20180104;10;73
260;20180104;11;76
260;20180104;12;78
260;20180104;13;70
260;20180104;14;71
260;20180104;15;93
260;20180104;16;104
260;20180104;17;102
260;20180104;18;103
260;20180104;19;101
260;20180104;20;93
260;20180104;21;82
260;20180104;22;78
260;20180104;23;79
260;20180104;24;75
260;20180105;1;72
260;20180105;2;76
260;20180105;3;67
260;20180105;4;57
260;20180105;5;50
260;20180105;6;55
260;20180105;7;55
260;20180105;8;56
260;20180105;9;62
260;20180105;10;67
260;20180105;11;72
260;20180105;12;75
260;20180105;13;81
260;20180105;14;85
260;20180105;15;86
260;20180105;16;61
260;20180105;17;47
260;20180105;18;56
260;20180105;19;58
260;20180105;20;59
260;20180105;21;60
260;20180105;22;59
260;20180105;23;55
260;20180105;24;55
260;20180106;1;52
260;20180106;2;53
260;20180106;3;49
260;20180106;4;40
260;20180106;5;46
260;20180106;6;38
260;20180106;7;31
260;20180106;8;33
260;20180106;9;33
260;20180106;10;43
260;20180106;11;53
260;20180106;12;62
260;20180106;13;66
260;20180106;14;64
260;20180106;15;63
260;20180106;16;60
260;20180106;17;55
260;20180106;18;52
260;20180106;19;45
260;20180106;20;40
260;20180106;21;33
260;20180106;22;28
260;20180106;23;24
260;20180106;24;22
260;20180107;1;22
260;20180107;2;24
260;20180107;3;22
260;20180107;4;18
260;20180107;5;14
260;20180107;6;10
260;20180107;7;5
260;20180107;8;3
260;20180107;9;3
260;20180107;10;12
260;20180107;11;19
260;20180107;12;26
260;20180107;13;29
260;20180107;14;26
260;20180107;15;21
260;20180107;16;12
260;20180107;17;6
260;20180107;18;3
260;20180107;19;3
260;20180107;20;0
260;20180107;21;-3
260;20180107;22;-7
260;20180107;23;-8
260;20180107;24;-10
260;20180108;1;-12
260;20180108;2;-12
260;20180108;3;-10
260;20180108;4;-6
260;20180108;5;-4
260;20180108;6;-2
260;20180108;7;0
260;20180108;8;-2
260;20180108;9;3
260;20180108;10;12
260;20180108;11;21
260;20180108;12;29
260;20180108;13;34
260;20180108;14;39
260;20180108;15;37
260;20180108;16;29
260;20180108;17;26
260;20180108;18;17
260;20180108;19;13
260;20180108;20;12
260;20180108;21;11
260;20180108;22;11
260;20180108;23;13
260;20180108;24;12
260;20180109;1;7
260;20180109;2;9
260;20180109;3;8
260;20180109;4;3
260;20180109;5;-1
260;20180109;6;5
260;20180109;7;4
260;20180109;8;0
260;20180109;9;3
260;20180109;10;9
260;20180109;11;21
260;20180109;12;37
260;20180109;13;39
260;20180109;14;44
260;20180109;15;47
260;20180109;16;43
260;20180109;17;49
260;20180109;18;50
260;20180109;19;54
260;20180109;20;60
260;20180109;21;57
260;20180109;22;60
260;20180109;23;61
260;20180109;24;59
260;20180110;1;61
260;20180110;2;61
260;20180110;3;62
260;20180110;4;65
260;20180110;5;69
260;20180110;6;70
260;20180110;7;69
260;20180110;8;70
260;20180110;9;71
260;20180110;10;71
260;20180110;11;73
260;20180110;12;72
260;20180110;13;75
260;20180110;14;75
260;20180110;15;75
260;20180110;16;75
260;20180110;17;74
260;20180110;18;71
260;20180110;19;68
260;20180110;20;67
260;20180110;21;64
260;20180110;22;65
260;20180110;23;64
260;20180110;24;62
260;20180111;1;60
260;20180111;2;62
260;20180111;3;50
260;20180111;4;33
260;20180111;5;37
260;20180111;6;46
260;20180111;7;48
260;20180111;8;53
260;20180111;9;59
260;20180111;10;64
260;20180111;11;68
260;20180111;12;72
260;20180111;13;76
260;20180111;14;74
260;20180111;15;69
260;20180111;16;64
260;20180111;17;61
260;20180111;18;59
260;20180111;19;57
260;20180111;20;55
260;20180111;21;53
260;20180111;22;52
260;20180111;23;52
260;20180111;24;50
260;20180112;1;50
260;20180112;2;49
260;20180112;3;49
260;20180112;4;48
260;20180112;5;47
260;20180112;6;45
260;20180112;7;45
260;20180112;8;46
260;20180112;9;47
260;20180112;10;50
260;20180112;11;54
260;20180112;12;58
260;20180112;13;59
260;20180112;14;59
260;20180112;15;58
260;20180112;16;56
260;20180112;17;52
260;20180112;18;47
260;20180112;19;47
260;20180112;20;51
260;20180112;21;48
260;20180112;22;45
260;20180112;23;43
260;20180112;24;42
260;20180113;1;40
260;20180113;2;40
260;20180113;3;39
260;20180113;4;37
260;20180113;5;35
260;20180113;6;35
260;20180113;7;38
260;20180113;8;39
260;20180113;9;43
260;20180113;10;46
260;20180113;11;52
260;20180113;12;58
260;20180113;13;61
260;20180113;14;60
260;20180113;15;58
260;20180113;16;53
260;20180113;17;52
260;20180113;18;53
260;20180113;19;41
260;20180113;20;25
260;20180113;21;20
260;20180113;22;25
260;20180113;23;33
260;20180113;24;28
260;20180114;1;30
260;20180114;2;33
260;20180114;3;34
260;20180114;4;33
260;20180114;5;30
260;20180114;6;28
260;20180114;7;26
260;20180114;8;25
260;20180114;9;26
260;20180114;10;31
260;20180114;11;40
260;20180114;12;49
260;20180114;13;48
260;20180114;14;48
260;20180114;15;43
260;20180114;16;32
260;20180114;17;28
260;20180114;18;22
260;20180114;19;21
260;20180114;20;19
260;20180114;21;12
260;20180114;22;12
260;20180114;23;11
260;20180114;24;18
260;20180115;1;25
260;20180115;2;26
260;20180115;3;26
260;20180115;4;30
260;20180115;5;36
260;20180115;6;39
260;20180115;7;40
260;20180115;8;35
260;20180115;9;38
260;20180115;10;50
260;20180115;11;59
260;20180115;12;62
260;20180115;13;59
260;20180115;14;60
260;20180115;15;61
260;20180115;16;60
260;20180115;17;59
260;20180115;18;58
260;20180115;19;67
260;20180115;20;77
260;20180115;21;75
260;20180115;22;71
